company_name,symbol,sector_name,subsector_name,listing_date,listing_y,listing_m,listing_d
"8990 Holdings, Inc. Series B Perpetual Preferred Shares",8990B,PROPERTY,PROPERTY,2021-02-10,2021,2,10
"8990 Holdings, Inc. Series A Perpetual Preferred Shares",8990P,PROPERTY,PROPERTY,2017-12-01,2017,12,1
Asia Amalgamated Holdings Corporation,AAA,HOLDING FIRMS,HOLDING FIRMS,1973-03-22,1973,3,22
"Atok-Big Wedge Co., Inc.",AB,MINING & OIL,MINING,1948-01-08,1948,1,8
"AbaCore Capital Holdings, Inc.",ABA,HOLDING FIRMS,HOLDING FIRMS,1987-10-28,1987,10,28
Asiabest Group International Inc.,ABG,HOLDING FIRMS,HOLDING FIRMS,1979-07-10,1979,7,10
ABS-CBN Corporation,ABS,SERVICES,MEDIA,1992-07-08,1992,7,8
ABS-CBN Holdings Corporation - Philippine Deposit Receipts,ABSP,SERVICES,MEDIA,1999-10-07,1999,10,7
Ayala Corporation,AC,HOLDING FIRMS,HOLDING FIRMS,1976-11-08,1976,11,8
Acesite (Phils.) Hotel Corporation,ACE,SERVICES,HOTEL & LEISURE,1986-12-05,1986,12,5
ACEN CORPORATION,ACEN,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1970-01-05,1970,1,5
ACEN Corporation Perpetual Series A Preferred Shares,ACENA,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2023-09-01,2023,9,1
ACEN Corporation Perpetual Series B Preferred Shares,ACENB,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2023-09-01,2023,9,1
Ayala Corporation Preferred Class ``A`` Shares,ACPA,HOLDING FIRMS,HOLDING FIRMS,2008-11-25,2008,11,25
Ayala Corporation Non-Voting Perpetual Preferred A Shares,ACPAR,HOLDING FIRMS,HOLDING FIRMS,2023-05-29,2023,5,29
Ayala Corporation Class ``B`` Series 1 Preferred Shares,ACPB1,HOLDING FIRMS,HOLDING FIRMS,2006-07-21,2006,7,21
"Alsons Consolidated Resources, Inc.",ACR,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1993-04-12,1993,4,12
"Aboitiz Equity Ventures, Inc.",AEV,HOLDING FIRMS,HOLDING FIRMS,1994-11-16,1994,11,16
"Alliance Global Group, Inc.",AGI,HOLDING FIRMS,HOLDING FIRMS,1999-04-19,1999,4,19
Arthaland Corporation,ALCO,PROPERTY,PROPERTY,1996-03-19,1996,3,19
Arthaland Corporation Series ``B`` Perpetual Preferred Shares,ALCPB,PROPERTY,PROPERTY,2016-12-06,2016,12,6
Arthaland Corporation Series ``C`` Perpetual Preferred Shares,ALCPC,PROPERTY,PROPERTY,2019-06-27,2019,6,27
Arthaland Corporation Series ``D`` Preferred Shares,ALCPD,PROPERTY,PROPERTY,2021-12-03,2021,12,3
"Anchor Land Holdings, Inc.",ALHI,PROPERTY,PROPERTY,2007-08-08,2007,8,8
"Ayala Land, Inc.",ALI,PROPERTY,PROPERTY,1991-07-05,1991,7,5
"AllDay Marts, Inc.",ALLDY,SERVICES,RETAIL,2021-11-03,2021,11,3
AyalaLand Logistics Holdings Corp.,ALLHC,PROPERTY,PROPERTY,1990-02-28,1990,2,28
Alternergy Holdings Corporation,ALTER,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2023-03-24,2023,3,24
"AgriNurture, Inc.",ANI,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2009-05-25,2009,5,25
A. Soriano Corporation,ANS,HOLDING FIRMS,HOLDING FIRMS,1973-10-25,1973,10,25
Aboitiz Power Corporation,AP,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2007-07-16,2007,7,16
Ayala Corporation Class ``B`` Series 2 Preferred Shares,APB2R,HOLDING FIRMS,HOLDING FIRMS,2019-11-29,2019,11,29
"APC Group, Inc.",APC,SERVICES,OTHER SERVICES,1994-03-08,1994,3,8
"Apollo Global Capital, Inc.",APL,SERVICES,INFORMATION TECHNOLOGY,2012-10-18,2012,10,18
Anglo Philippine Holdings Corporation,APO,HOLDING FIRMS,HOLDING FIRMS,1959-07-31,1959,7,31
"Altus Property Ventures, Inc.",APVI,PROPERTY,PROPERTY,2020-06-26,2020,6,26
"Apex Mining Co., Inc.",APX,MINING & OIL,MINING,1974-03-07,1974,3,7
Abra Mining & Industrial Corporation,AR,MINING & OIL,MINING,1969-12-24,1969,12,24
"Araneta Properties, Inc.",ARA,PROPERTY,PROPERTY,1989-11-14,1989,11,14
"AREIT, Inc.",AREIT,PROPERTY,PROPERTY,2020-08-13,2020,8,13
Raslag Corp.,ASLAG,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",2022-06-06,2022,6,6
Atlas Consolidated Mining and Development Corporation,AT,MINING & OIL,MINING,1970-11-17,1970,11,17
"Asian Terminals, Inc.",ATI,SERVICES,TRANSPORTATION SERVICES,1996-01-25,1996,1,25
"ATN Holdings, Inc. ``A``",ATN,HOLDING FIRMS,HOLDING FIRMS,1970-09-24,1970,9,24
"ATN Holdings, Inc. ``B``",ATNB,HOLDING FIRMS,HOLDING FIRMS,1970-09-24,1970,9,24
Asia United Bank Corporation,AUB,FINANCIALS,BANKS,2013-05-17,2013,5,17
Axelum Resources Corp.,AXLM,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",2019-10-07,2019,10,7
Balai Ni Fruitas Inc.,BALAI,SME,SME,2022-06-30,2022,6,30
Benguet Corporation ``A``,BC,MINING & OIL,MINING,1950-01-04,1950,1,4
Benguet Corporation ``B``,BCB,MINING & OIL,MINING,1950-01-04,1950,1,4
"Berjaya Philippines, Inc.",BCOR,SERVICES,RETAIL,1948-11-29,1948,11,29
Benguet Corporation - 8% Cumulative Convertible Preferred A,BCP,MINING & OIL,MINING,1974-05-29,1974,5,29
"BDO Unibank, Inc.",BDO,FINANCIALS,BANKS,2002-05-21,2002,5,21
Belle Corporation,BEL,SERVICES,CASINOS & GAMING,1977-02-02,1977,2,2
"BHI Holdings, Inc.",BH,HOLDING FIRMS,HOLDING FIRMS,1966-11-02,1966,11,2
"Boulevard Holdings, Inc.",BHI,SERVICES,HOTEL & LEISURE,1997-04-28,1997,4,28
Bright Kindle Resources & Investments Inc.,BKR,FINANCIALS,OTHER FINANCIAL INSTITUTIONS,1995-03-21,1995,3,21
Bloomberry Resorts Corporation,BLOOM,SERVICES,CASINOS & GAMING,2000-10-17,2000,10,17
"Bogo-Medellin Milling Co., Inc.",BMM,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1950-11-16,1950,11,16
Bank of Commerce,BNCOM,FINANCIALS,BANKS,2022-03-31,2022,3,31
Bank of the Philippine Islands,BPI,FINANCIALS,BANKS,1971-10-12,1971,10,12
"A Brown Company, Inc.",BRN,PROPERTY,PROPERTY,1994-02-08,1994,2,8
"A Brown Company, Inc. Series A Preferred Shares",BRNP,PROPERTY,PROPERTY,2021-11-29,2021,11,29
Basic Energy Corporation,BSC,INDUSTRIAL,"ELEC., ENERGY, POWER & WATER",1973-10-16,1973,10,16
Chelsea Logistics and Infrastructure Holdings Corp.,C,SERVICES,TRANSPORTATION SERVICES,2017-08-08,2017,8,8
Concrete Aggregates Corp. ``A``,CA,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",1972-10-20,1972,10,20
Concrete Aggregates Corp. ``B``,CAB,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",1973-04-02,1973,4,2
"Central Azucarera de Tarlac, Inc.",CAT,INDUSTRIAL,"FOOD, BEVERAGE & TOBACCO",1977-04-12,1977,4,12
Cityland Development Corporation,CDC,PROPERTY,PROPERTY,1983-08-02,1983,8,2
"Cebu Air, Inc.",CEB,SERVICES,TRANSPORTATION SERVICES,2010-10-26,2010,10,26
"Cebu Air, Inc. Convertible Preferred Shares",CEBCP,SERVICES,TRANSPORTATION SERVICES,2021-03-29,2021,3,29
"Crown Equities, Inc.",CEI,PROPERTY,PROPERTY,1994-08-16,1994,8,16
Centro Escolar University,CEU,SERVICES,EDUCATION,1986-11-10,1986,11,10
"Cebu Holdings, Inc.",CHI,PROPERTY,PROPERTY,1994-02-14,1994,2,14
China Banking Corporation,CHIB,FINANCIALS,BANKS,1927-09-01,1927,9,1
"Cemex Holdings Philippines, Inc.",CHP,INDUSTRIAL,"CONSTRUCTION, INFR. & ALLIED",2016-07-18,2016,7,18
Concepcion Industrial Corporation,CIC,INDUSTRIAL,ELECTRICAL COMPONENTS & EQUIP.,2013-11-27,2013,11,27
"Chemical Industries of the Philippines, Inc.",CIP,INDUSTRIAL,CHEMICALS,1985-11-21,1985,11,21
"Cebu Landmasters, Inc.",CLI,PROPERTY,PROPERTY,2017-06-02,2017,6,2
